,Segment>>,Consumer,Unnamed: 2,Unnamed: 3,Unnamed: 4,Consumer Total,Corporate,Unnamed: 7,Unnamed: 8,Unnamed: 9,Corporate Total,Home Office,Unnamed: 12,Unnamed: 13,Unnamed: 14,Home Office Total
0,Ship Mode>>,First Class,Same Day,Second Class,Standard Class,,First Class,Same Day,Second Class,Standard Class,,First Class,Same Day,Second Class,Standard Class,
1,Order ID,,,,,,,,,,,,,,,
2,CA-2011-100293,,,,,,,,,,,,,,91.056,91.056
3,CA-2011-100706,,,129.44,,129.44,,,,,,,,,,
4,CA-2011-100895,,,,605.47,605.47,,,,,,,,,,
5,CA-2011-100916,,,,,,,,,788.86,788.86,,,,,
6,CA-2011-101266,,,13.36,,13.36,,,,,,,,,,
7,CA-2011-101560,,,,,,,,542.3399999999999,,542.3399999999999,,,,,
8,CA-2011-101770,,,,,,,,,1.8690000000000004,1.8690000000000004,,,,,
9,CA-2011-102274,,,,,,,,,865.5,865.5,,,,,
10,CA-2011-102673,,,,,,,,,1044.4399999999998,1044.4399999999998,,,,,
11,CA-2011-102988,,,,,,,,4251.919999999999,,4251.919999999999,,,,,
12,CA-2011-103317,,,,,,242.54600000000002,,,,242.54600000000002,,,,,
13,CA-2011-103366,149.95,,,,149.95,,,,,,,,,,
14,CA-2011-103807,,,,,,,,,21.19,21.19,,,,,
15,CA-2011-103989,,,,,,590.7620000000002,,,,590.7620000000002,,,,,
16,CA-2011-104283,,,,616.14,616.14,,,,,,,,,,
17,CA-2011-106054,,,,,,12.78,,,,12.78,,,,,
18,CA-2011-106810,,,,,,,,,310.88000000000005,310.88000000000005,,,,,
19,CA-2011-107573,,,,23.472,23.472,,,,,,,,,,
20,CA-2011-107811,,,,,,,,,661.5040000000001,661.5040000000001,,,,,
21,CA-2011-108707,,,,,,,,,,,,,,10.368000000000002,10.368000000000002
22,CA-2011-109043,243.60000000000002,,,,243.60000000000002,,,,,,,,,,
23,CA-2011-109232,,,545.9399999999999,,545.9399999999999,,,,,,,,,,
24,CA-2011-110100,,,,302.376,302.376,,,,,,,,,,
25,CA-2011-110408,,,,,,,,2216.8,,2216.8,,,,,
26,CA-2011-110422,,,25.248,,25.248,,,,,,,,,,
27,CA-2011-111500,,,,,,,,,484.78999999999996,484.78999999999996,,,,,
28,CA-2011-111934,,,,,,47.32,,,,47.32,,,,,
29,CA-2011-112718,,,,,,,,,1.1670000000000003,1.1670000000000003,,,,,
30,CA-2011-113047,,11.850000000000001,,,11.850000000000001,,,,,,,,,,
31,CA-2011-113166,9.568000000000001,,,,9.568000000000001,,,,,,,,,,
32,CA-2011-114314,,,,,,,,,16.23,16.23,,,,,
33,CA-2011-114321,,,,,,,,,1417.35,1417.35,,,,,
34,CA-2011-114335,,,,337.088,337.088,,,,,,,,,,
35,CA-2011-114790,,,,,,,,782.6300000000001,,782.6300000000001,,,,,
36,CA-2011-115084,,,,,,,,,605.34,605.34,,,,,
37,CA-2011-115357,,,62.91,,62.91,,,,,,,,,,
38,CA-2011-116190,,,,256.47999999999996,256.47999999999996,,,,,,,,,,
39,CA-2011-116239,,354.90000000000003,,,354.90000000000003,,,,,,,,,,
40,CA-2011-116407,,,,362.17600000000004,362.17600000000004,,,,,,,,,,
41,CA-2011-116568,,,,186.304,186.304,,,,,,,,,,
42,CA-2011-117016,,,,15.552000000000003,15.552000000000003,,,,,,,,,,
